image,class
glass122.jpg,1
plastic225.jpg,4
cardboard247_aug.jpg,3
paper476.jpg,2
metal255_aug.jpg,5
metal290_aug.jpg,5
plastic40_aug.jpg,4
metal174.jpg,5
trash56_aug.jpg,6
plastic104_aug.jpg,4
paper264.jpg,2
cardboard70.jpg,3
cardboard298.jpg,3
cardboard348_aug.jpg,3
plastic120_aug.jpg,4
plastic87_aug.jpg,4
glass57.jpg,1
metal95.jpg,5
metal230.jpg,5
paper115.jpg,2
glass91.jpg,1
plastic3_aug.jpg,4
metal289.jpg,5
paper320.jpg,2
paper108_aug.jpg,2
glass289_aug.jpg,1
metal259.jpg,5
paper324.jpg,2
glass52.jpg,1
paper97.jpg,2
trash89.jpg,6
plastic166.jpg,4
metal2.jpg,5
paper186_aug.jpg,2
glass367_aug.jpg,1
metal121_aug.jpg,5
paper270.jpg,2
plastic24_aug.jpg,4
plastic380_aug.jpg,4
cardboard136.jpg,3
cardboard380_aug.jpg,3
glass358_aug.jpg,1
metal360.jpg,5
metal108.jpg,5
metal52.jpg,5
metal72_aug.jpg,5
paper504_aug.jpg,2
paper26_aug.jpg,2
metal287_aug.jpg,5
plastic472_aug.jpg,4
cardboard324.jpg,3
paper176_aug.jpg,2
metal177.jpg,5
glass191.jpg,1
cardboard148.jpg,3
glass243_aug.jpg,1
glass58_aug.jpg,1
glass356.jpg,1
metal334_aug.jpg,5
paper571.jpg,2
plastic85.jpg,4
cardboard55_aug.jpg,3
glass126.jpg,1
metal339.jpg,5
cardboard182.jpg,3
cardboard95.jpg,3
paper105.jpg,2
cardboard335_aug.jpg,3
glass331_aug.jpg,1
paper277_aug.jpg,2
trash64.jpg,6
plastic62_aug.jpg,4
glass75_aug.jpg,1
paper340.jpg,2
glass353.jpg,1
plastic313_aug.jpg,4
cardboard278.jpg,3
plastic458_aug.jpg,4
trash66_aug.jpg,6
plastic216_aug.jpg,4
paper264_aug.jpg,2
paper202.jpg,2
plastic274.jpg,4
paper116.jpg,2
metal255_aug.jpg,5
plastic395_aug.jpg,4
paper494.jpg,2
glass275_aug.jpg,1
plastic371.jpg,4
paper291.jpg,2
paper75.jpg,2
metal149_aug.jpg,5
glass209_aug.jpg,1
glass473_aug.jpg,1
metal184_aug.jpg,5
paper148.jpg,2
metal306.jpg,5
paper147_aug.jpg,2
plastic54.jpg,4
metal79_aug.jpg,5
paper455_aug.jpg,2
glass375.jpg,1
metal405_aug.jpg,5
metal263_aug.jpg,5
glass6.jpg,1
plastic311_aug.jpg,4
paper229.jpg,2
paper368_aug.jpg,2
metal319_aug.jpg,5
paper551.jpg,2
cardboard207.jpg,3
plastic174_aug.jpg,4
glass424_aug.jpg,1
glass455_aug.jpg,1
cardboard226_aug.jpg,3
plastic216_aug.jpg,4
paper361_aug.jpg,2
metal156_aug.jpg,5
glass81.jpg,1
glass307_aug.jpg,1
plastic16_aug.jpg,4
plastic257_aug.jpg,4
cardboard388_aug.jpg,3
plastic235.jpg,4
glass450_aug.jpg,1
plastic380_aug.jpg,4
metal173.jpg,5
paper233_aug.jpg,2
paper290_aug.jpg,2
cardboard21_aug.jpg,3
plastic12.jpg,4
paper538_aug.jpg,2
paper351.jpg,2
cardboard24.jpg,3
glass481_aug.jpg,1
cardboard391_aug.jpg,3
plastic163.jpg,4
glass195_aug.jpg,1
paper574_aug.jpg,2
paper261_aug.jpg,2
cardboard22.jpg,3
plastic43_aug.jpg,4
trash23_aug.jpg,6
glass343_aug.jpg,1
paper319.jpg,2
cardboard388_aug.jpg,3
plastic440_aug.jpg,4
paper556_aug.jpg,2
cardboard265.jpg,3
cardboard257.jpg,3
metal113_aug.jpg,5
metal400.jpg,5
plastic316.jpg,4
metal117.jpg,5
paper412_aug.jpg,2
metal193_aug.jpg,5
cardboard106.jpg,3
metal166_aug.jpg,5
metal379_aug.jpg,5
paper362_aug.jpg,2
glass36.jpg,1
metal167.jpg,5
cardboard78_aug.jpg,3
paper240.jpg,2
metal272_aug.jpg,5
metal202.jpg,5
cardboard29_aug.jpg,3
metal358.jpg,5
plastic424.jpg,4
plastic352.jpg,4
metal321.jpg,5
metal107.jpg,5
paper74_aug.jpg,2
paper57.jpg,2
trash85.jpg,6
metal225_aug.jpg,5
plastic148_aug.jpg,4
cardboard376_aug.jpg,3
metal193_aug.jpg,5
glass339_aug.jpg,1
glass223.jpg,1
glass60_aug.jpg,1
glass193_aug.jpg,1
paper557_aug.jpg,2
cardboard367.jpg,3
glass135.jpg,1
cardboard167_aug.jpg,3
trash61.jpg,6
plastic445_aug.jpg,4
cardboard92_aug.jpg,3
cardboard101.jpg,3
glass286.jpg,1
plastic292.jpg,4
cardboard287_aug.jpg,3
glass88.jpg,1
trash123.jpg,6
paper186_aug.jpg,2
trash130.jpg,6
cardboard56_aug.jpg,3
cardboard105_aug.jpg,3
